step,val_cross_entropy_step,val_acc,val_cross_entropy_epoch,epoch,cross_entropy_epoch,cross_entropy_step,train_acc
0,3.4013173580169678,,,,,,
1,3.401984453201294,,,,,,
2,3.40201735496521,,,,,,
3,3.400608539581299,,,,,,
4,3.402005910873413,,,,,,
5,3.4015884399414062,,,,,,
6,3.403836488723755,,,,,,
7,3.4025392532348633,,,,,,
8,3.4002768993377686,,,,,,
9,3.4014499187469482,,,,,,
10,3.4022669792175293,,,,,,
40,,0.03373579680919647,3.401808738708496,0,,,
40,,,,0,3.4024298191070557,,
49,,,,1,,3.402374029159546,0.025390625
11,3.401379108428955,,,,,,
12,3.4028470516204834,,,,,,
13,3.4034554958343506,,,,,,
14,3.4012672901153564,,,,,,
15,3.400017023086548,,,,,,
16,3.4008727073669434,,,,,,
17,3.400390863418579,,,,,,
18,3.4020159244537354,,,,,,
19,3.4015557765960693,,,,,,
20,3.402388334274292,,,,,,
21,3.401428699493408,,,,,,
81,,0.034446023404598236,3.401601552963257,1,,,
81,,,,1,3.4025349617004395,,
99,,,,2,,3.4027040004730225,0.02734375
22,3.4024887084960938,,,,,,
23,3.402449369430542,,,,,,
24,3.4007370471954346,,,,,,
25,3.400146722793579,,,,,,
26,3.40199613571167,,,,,,
27,3.398181915283203,,,,,,
28,3.4019148349761963,,,,,,
29,3.4031763076782227,,,,,,
30,3.4041831493377686,,,,,,
31,3.4016897678375244,,,,,,
32,3.4030497074127197,,,,,,
122,,0.03284801170229912,3.4018194675445557,2,,,
122,,,,2,3.402467727661133,,
149,,,,3,,3.403757095336914,0.029296875
33,3.403287887573242,,,,,,
34,3.3987345695495605,,,,,,
35,3.397153854370117,,,,,,
36,3.4042201042175293,,,,,,
37,3.402378559112549,,,,,,
38,3.4032652378082275,,,,,,
39,3.3983616828918457,,,,,,
40,3.4064111709594727,,,,,,
41,3.3987176418304443,,,,,,
42,3.4025790691375732,,,,,,
43,3.4061014652252197,,,,,,
163,,0.03373579680919647,3.401928186416626,3,,,
163,,,,3,3.4030117988586426,,
199,,,,4,,3.4050614833831787,0.03125
44,3.4014735221862793,,,,,,
45,3.4058282375335693,,,,,,
46,3.406154155731201,,,,,,
47,3.399509906768799,,,,,,
48,3.4045839309692383,,,,,,
49,3.3973124027252197,,,,,,
50,3.4009902477264404,,,,,,
51,3.404927968978882,,,,,,
52,3.4026639461517334,,,,,,
53,3.403712034225464,,,,,,
54,3.401632308959961,,,,,,
204,,0.03284801170229912,3.4026169776916504,4,,,
204,,,,4,3.4034297466278076,,
55,3.401381492614746,,,,,,
56,3.406733751296997,,,,,,
57,3.3988406658172607,,,,,,
58,3.402728796005249,,,,,,
59,3.4050583839416504,,,,,,
60,3.4026496410369873,,,,,,
61,3.3997766971588135,,,,,,
62,3.399873971939087,,,,,,
63,3.4012231826782227,,,,,,
64,3.404223680496216,,,,,,
65,3.401703119277954,,,,,,
245,,0.034090910106897354,3.4021995067596436,5,,,
245,,,,5,3.403921365737915,,
249,,,,6,,3.400700807571411,0.02734375
66,3.4059298038482666,,,,,,
67,3.402787923812866,,,,,,
68,3.4011666774749756,,,,,,
69,3.404742956161499,,,,,,
70,3.3983469009399414,,,,,,
71,3.4029123783111572,,,,,,
72,3.4003918170928955,,,,,,
73,3.408670663833618,,,,,,
74,3.4015626907348633,,,,,,
75,3.402254343032837,,,,,,
76,3.4058330059051514,,,,,,
286,,0.03338068351149559,3.4031455516815186,6,,,
286,,,,6,3.403866767883301,,
299,,,,7,,3.400268316268921,0.021484375
77,3.4023830890655518,,,,,,
78,3.3992795944213867,,,,,,
79,3.404409646987915,,,,,,
80,3.4017815589904785,,,,,,
81,3.4010422229766846,,,,,,
82,3.406006336212158,,,,,,
83,3.4024181365966797,,,,,,
84,3.408193349838257,,,,,,
85,3.4052631855010986,,,,,,
86,3.4021823406219482,,,,,,
87,3.402888298034668,,,,,,
327,,0.033913351595401764,3.403259038925171,7,,,
327,,,,7,3.404477119445801,,
