step,val_cross_entropy_step,val_cross_entropy_epoch,val_acc,epoch,cross_entropy_epoch,cross_entropy_step,train_acc
0,3.3987860679626465,,,,,,
1,3.4019663333892822,,,,,,
2,3.4034252166748047,,,,,,
3,3.401724100112915,,,,,,
4,3.4017019271850586,,,,,,
5,3.4025087356567383,,,,,,
6,3.4037039279937744,,,,,,
7,3.4059481620788574,,,,,,
8,3.404144525527954,,,,,,
9,3.399976968765259,,,,,,
10,3.401850461959839,,,,,,
40,,3.4023396968841553,0.03373579680919647,0,,,
40,,,,0,3.402376413345337,,
49,,,,1,,3.4007396697998047,0.041015625
11,3.4041950702667236,,,,,,
12,3.4033517837524414,,,,,,
13,3.4016354084014893,,,,,,
14,3.4012300968170166,,,,,,
15,3.4042859077453613,,,,,,
16,3.4041879177093506,,,,,,
17,3.4013988971710205,,,,,,
18,3.4002654552459717,,,,,,
19,3.399885892868042,,,,,,
20,3.398223876953125,,,,,,
21,3.400752544403076,,,,,,
81,,3.4017648696899414,0.03373579680919647,1,,,
81,,,,1,3.4030895233154297,,
99,,,,2,,3.405843734741211,0.029296875
22,3.4035863876342773,,,,,,
23,3.4000244140625,,,,,,
24,3.403843402862549,,,,,,
25,3.4056787490844727,,,,,,
26,3.401658535003662,,,,,,
27,3.4050424098968506,,,,,,
28,3.3996503353118896,,,,,,
29,3.399358034133911,,,,,,
30,3.4032058715820312,,,,,,
31,3.4040520191192627,,,,,,
32,3.4021213054656982,,,,,,
122,,3.4025657176971436,0.033913351595401764,2,,,
122,,,,2,3.403827667236328,,
149,,,,3,,3.399700880050659,0.037109375
33,3.403923511505127,,,,,,
34,3.4003312587738037,,,,,,
35,3.4022364616394043,,,,,,
36,3.4022111892700195,,,,,,
37,3.399604558944702,,,,,,
38,3.404575824737549,,,,,,
39,3.4014787673950195,,,,,,
40,3.4040868282318115,,,,,,
41,3.406599760055542,,,,,,
42,3.4020345211029053,,,,,,
43,3.404179096221924,,,,,,
163,,3.402841806411743,0.033913351595401764,3,,,
163,,,,3,3.4037861824035645,,
199,,,,4,,3.4072020053863525,0.021484375
44,3.404118299484253,,,,,,
45,3.402477741241455,,,,,,
46,3.4059319496154785,,,,,,
47,3.4070863723754883,,,,,,
48,3.405451536178589,,,,,,
49,3.401707410812378,,,,,,
50,3.3989925384521484,,,,,,
51,3.4051332473754883,,,,,,
52,3.410407066345215,,,,,,
53,3.4042327404022217,,,,,,
54,3.396745443344116,,,,,,
204,,3.403843879699707,0.033913351595401764,4,,,
204,,,,4,3.4041318893432617,,
55,3.4010751247406006,,,,,,
56,3.402723550796509,,,,,,
57,3.4035110473632812,,,,,,
58,3.4007081985473633,,,,,,
59,3.4036760330200195,,,,,,
60,3.4042508602142334,,,,,,
61,3.405134677886963,,,,,,
62,3.4034175872802734,,,,,,
63,3.4058032035827637,,,,,,
64,3.4005401134490967,,,,,,
65,3.406599998474121,,,,,,
245,,3.4034039974212646,0.03355823829770088,5,,,
245,,,,5,3.4055135250091553,,
249,,,,6,,3.405296564102173,0.033203125
66,3.408399820327759,,,,,,
67,3.4021477699279785,,,,,,
68,3.4071900844573975,,,,,,
69,3.403975248336792,,,,,,
70,3.4072699546813965,,,,,,
71,3.403174877166748,,,,,,
72,3.4057586193084717,,,,,,
73,3.3990068435668945,,,,,,
74,3.409054756164551,,,,,,
75,3.400571346282959,,,,,,
76,3.402561902999878,,,,,,
286,,3.4044644832611084,0.03373579680919647,6,,,
286,,,,6,3.405398368835449,,
299,,,,7,,3.408949375152588,0.0234375
77,3.4072320461273193,,,,,,
78,3.4018466472625732,,,,,,
79,3.407762289047241,,,,,,
80,3.406332492828369,,,,,,
81,3.402101755142212,,,,,,
82,3.398198127746582,,,,,,
83,3.403836488723755,,,,,,
84,3.401937961578369,,,,,,
85,3.4024739265441895,,,,,,
86,3.4078586101531982,,,,,,
87,3.3976707458496094,,,,,,
327,,3.4033865928649902,0.03302556648850441,7,,,
327,,,,7,3.4055042266845703,,
349,,,,8,,3.4016096591949463,0.029296875
88,3.3995537757873535,,,,,,
89,3.397799253463745,,,,,,
90,3.4048094749450684,,,,,,
91,3.4028871059417725,,,,,,
92,3.412144422531128,,,,,,
93,3.405308246612549,,,,,,
94,3.4079854488372803,,,,,,
95,3.4019036293029785,,,,,,
96,3.4030067920684814,,,,,,
97,3.4047141075134277,,,,,,
98,3.4099485874176025,,,,,,
368,,3.4045510292053223,0.032137785106897354,8,,,
368,,,,8,3.4049530029296875,,
399,,,,9,,3.404921293258667,0.03125
99,3.4099676609039307,,,,,,
100,3.4092838764190674,,,,,,
101,3.4043807983398438,,,,,,
102,3.4033749103546143,,,,,,
103,3.4045398235321045,,,,,,
104,3.407810688018799,,,,,,
105,3.411500930786133,,,,,,
106,3.404463291168213,,,,,,
107,3.407557964324951,,,,,,
108,3.4044930934906006,,,,,,
109,3.397670030593872,,,,,,
409,,3.4059128761291504,0.03284801170229912,9,,,
409,,,,9,3.4055421352386475,,
449,,,,10,,3.409722328186035,0.037109375
110,3.3996896743774414,,,,,,
111,3.4082095623016357,,,,,,
112,3.3972294330596924,,,,,,
113,3.409404754638672,,,,,,
114,3.4067931175231934,,,,,,
115,3.4018235206604004,,,,,,
116,3.3927412033081055,,,,,,
117,3.4050822257995605,,,,,,
118,3.4133315086364746,,,,,,
119,3.403857707977295,,,,,,
120,3.4088382720947266,,,,,,
450,,3.4042725563049316,0.03284801170229912,10,,,
450,,,,10,3.40592360496521,,
121,3.4012155532836914,,,,,,
122,3.405384063720703,,,,,,
123,3.416443109512329,,,,,,
124,3.408438205718994,,,,,,
125,3.3975725173950195,,,,,,
126,3.402564287185669,,,,,,
127,3.402480363845825,,,,,,
128,3.3981029987335205,,,,,,
129,3.405738353729248,,,,,,
130,3.404172658920288,,,,,,
131,3.4046645164489746,,,,,,
491,,3.404252529144287,0.034446023404598236,11,,,
491,,,,11,3.405977487564087,,
499,,,,12,,3.4053452014923096,0.025390625
132,3.401919364929199,,,,,,
133,3.408313512802124,,,,,,
134,3.403164863586426,,,,,,
135,3.404614210128784,,,,,,
136,3.4036197662353516,,,,,,
137,3.402162551879883,,,,,,
138,3.401836633682251,,,,,,
139,3.403455972671509,,,,,,
140,3.408695697784424,,,,,,
141,3.402041435241699,,,,,,
142,3.4016611576080322,,,,,,
532,,3.40377140045166,0.033913351595401764,12,,,
532,,,,12,3.405928373336792,,
549,,,,13,,3.4005401134490967,0.03125
143,3.406074285507202,,,,,,
144,3.4073472023010254,,,,,,
145,3.40838623046875,,,,,,
146,3.4033548831939697,,,,,,
147,3.4030230045318604,,,,,,
148,3.40370774269104,,,,,,
149,3.401167154312134,,,,,,
150,3.4003803730010986,,,,,,
151,3.40323805809021,,,,,,
152,3.4058918952941895,,,,,,
153,3.409632921218872,,,,,,
573,,3.4047460556030273,0.03302556648850441,13,,,
573,,,,13,3.4051296710968018,,
599,,,,14,,3.405479907989502,0.03125
154,3.4129886627197266,,,,,,
155,3.410400867462158,,,,,,
156,3.3967928886413574,,,,,,
157,3.4069392681121826,,,,,,
158,3.402305841445923,,,,,,
159,3.4074313640594482,,,,,,
160,3.4077422618865967,,,,,,
161,3.4059534072875977,,,,,,
162,3.4027135372161865,,,,,,
163,3.40633487701416,,,,,,
164,3.406182050704956,,,,,,
614,,3.405980110168457,0.033913351595401764,14,,,
614,,,,14,3.40643048286438,,
