val_cross_entropy_step,step,val_cross_entropy_epoch,epoch,val_acc,cross_entropy_epoch,cross_entropy_step,train_acc
3.8023183345794678,0,,,,,,
3.7922656536102295,1,,,,,,
,9,3.7972919940948486,0,0.042236328125,,,
,9,,0,,3.8425869941711426,,
3.725612163543701,2,,,,,,
3.6994619369506836,3,,,,,,
,19,3.7125370502471924,1,0.0439453125,,,
,19,,1,,3.5960872173309326,,
3.641429901123047,4,,,,,,
3.6236720085144043,5,,,,,,
,29,3.6325509548187256,2,0.0546875,,,
,29,,2,,3.3826851844787598,,
3.5415966510772705,6,,,,,,
3.550287961959839,7,,,,,,
,39,3.5459423065185547,3,0.0654296875,,,
,39,,3,,3.1983695030212402,,
,49,,4,,,3.096414804458618,0.134765625
3.4589860439300537,8,,,,,,
3.475220203399658,9,,,,,,
,49,3.4671030044555664,4,0.073486328125,,,
,49,,4,,3.0399863719940186,,
3.4119060039520264,10,,,,,,
3.3770110607147217,11,,,,,,
,59,3.394458532333374,5,0.077392578125,,,
,59,,5,,2.9085261821746826,,
3.329641342163086,12,,,,,,
3.32416033744812,13,,,,,,
,69,3.3269009590148926,6,0.097412109375,,,
,69,,6,,2.7958526611328125,,
3.2817814350128174,14,,,,,,
3.233175277709961,15,,,,,,
,79,3.2574782371520996,7,0.117431640625,,,
,79,,7,,2.6817545890808105,,
3.1865696907043457,16,,,,,,
3.2255330085754395,17,,,,,,
,89,3.2060513496398926,8,0.133544921875,,,
,89,,8,,2.5763773918151855,,
,99,,9,,,2.511862277984619,0.32861328125
3.0958144664764404,18,,,,,,
3.126540422439575,19,,,,,,
,99,3.111177444458008,9,0.155029296875,,,
,99,,9,,2.4757919311523438,,
3.064845323562622,20,,,,,,
3.0308496952056885,21,,,,,,
,109,3.0478475093841553,10,0.1669921875,,,
,109,,10,,2.371370792388916,,
2.9727795124053955,22,,,,,,
2.944553852081299,23,,,,,,
,119,2.9586668014526367,11,0.193603515625,,,
,119,,11,,2.2792115211486816,,
2.8973515033721924,24,,,,,,
2.8792614936828613,25,,,,,,
,129,2.8883066177368164,12,0.217041015625,,,
,129,,12,,2.1785316467285156,,
2.7505102157592773,26,,,,,,
2.839726686477661,27,,,,,,
,139,2.7951183319091797,13,0.245361328125,,,
,139,,13,,2.077230453491211,,
,149,,14,,,2.056584596633911,0.47900390625
2.7241504192352295,28,,,,,,
2.7233400344848633,29,,,,,,
,149,2.723745346069336,14,0.261962890625,,,
,149,,14,,1.9886316061019897,,
2.6375155448913574,30,,,,,,
2.620175838470459,31,,,,,,
,159,2.628845691680908,15,0.27880859375,,,
,159,,15,,1.8875830173492432,,
2.5163633823394775,32,,,,,,
2.481034517288208,33,,,,,,
,169,2.4986989498138428,16,0.326904296875,,,
,169,,16,,1.7819980382919312,,
2.389387845993042,34,,,,,,
2.4154677391052246,35,,,,,,
,179,2.4024276733398438,17,0.361083984375,,,
,179,,17,,1.680163025856018,,
2.279520273208618,36,,,,,,
2.303851366043091,37,,,,,,
,189,2.2916858196258545,18,0.37646484375,,,
,189,,18,,1.5598723888397217,,
,199,,19,,,1.4789565801620483,0.64892578125
2.1230742931365967,38,,,,,,
2.1910197734832764,39,,,,,,
,199,2.1570470333099365,19,0.4169921875,,,
,199,,19,,1.4570163488388062,,
2.0563855171203613,40,,,,,,
2.0509090423583984,41,,,,,,
,209,2.05364727973938,20,0.4482421875,,,
,209,,20,,1.342917799949646,,
1.9716473817825317,42,,,,,,
1.9364712238311768,43,,,,,,
,219,1.954059362411499,21,0.470703125,,,
,219,,21,,1.2391161918640137,,
1.8574907779693604,44,,,,,,
1.8811752796173096,45,,,,,,
,229,1.869333028793335,22,0.4921875,,,
,229,,22,,1.1336696147918701,,
1.7699955701828003,46,,,,,,
1.752746820449829,47,,,,,,
,239,1.76137113571167,23,0.52001953125,,,
,239,,23,,1.0332049131393433,,
,249,,24,,,0.9878040552139282,0.7802734375
1.6710623502731323,48,,,,,,
1.6540940999984741,49,,,,,,
,249,1.6625782251358032,24,0.5458984375,,,
,249,,24,,0.9453805685043335,,
1.5614937543869019,50,,,,,,
1.5495615005493164,51,,,,,,
,259,1.555527687072754,25,0.5625,,,
,259,,25,,0.8648179173469543,,
1.4931102991104126,52,,,,,,
1.5030760765075684,53,,,,,,
,269,1.4980931282043457,26,0.588134765625,,,
,269,,26,,0.7964800596237183,,
1.4494777917861938,54,,,,,,
1.4191689491271973,55,,,,,,
,279,1.4343233108520508,27,0.599609375,,,
,279,,27,,0.7285720705986023,,
1.3190512657165527,56,,,,,,
1.3973194360733032,57,,,,,,
,289,1.3581852912902832,28,0.624755859375,,,
,289,,28,,0.6648386716842651,,
,299,,29,,,0.6369785070419312,0.8681640625
1.2918241024017334,58,,,,,,
1.3496278524398804,59,,,,,,
,299,1.320725917816162,29,0.63037109375,,,
