val_cross_entropy_step,step,val_acc,val_cross_entropy_epoch,epoch,cross_entropy_epoch,train_acc,cross_entropy_step
3.257448196411133,0,,,,,,
3.260047674179077,1,,,,,,
,9,0.158447265625,3.2587480545043945,0,,,
,9,,,0,3.372222423553467,,
2.644623279571533,2,,,,,,
2.613990068435669,3,,,,,,
,19,0.336181640625,2.6293067932128906,1,,,
,19,,,1,3.040271282196045,,
1.6642255783081055,4,,,,,,
1.6748063564300537,5,,,,,,
,29,0.59912109375,1.6695159673690796,2,,,
,29,,,2,2.274819850921631,,
0.8660982847213745,6,,,,,,
0.9232431054115295,7,,,,,,
,39,0.778076171875,0.8946707248687744,3,,,
,39,,,3,1.3940081596374512,,
,49,,,4,,0.82275390625,0.662693202495575
0.5095957517623901,8,,,,,,
0.509067714214325,9,,,,,,
,49,0.851806640625,0.5093317031860352,4,,,
,49,,,4,0.8318992853164673,,
0.3890782594680786,10,,,,,,
0.40655606985092163,11,,,,,,
,59,0.869384765625,0.3978171646595001,5,,,
,59,,,5,0.6001845002174377,,
0.3536044657230377,12,,,,,,
0.3366549611091614,13,,,,,,
,69,0.883056640625,0.34512972831726074,6,,,
,69,,,6,0.5004611611366272,,
0.33574312925338745,14,,,,,,
0.30386683344841003,15,,,,,,
,79,0.891357421875,0.31980496644973755,7,,,
,79,,,7,0.44012752175331116,,
0.2952284514904022,16,,,,,,
0.3138647675514221,17,,,,,,
,89,0.900146484375,0.304546594619751,8,,,
,89,,,8,0.4001839756965637,,
,99,,,9,,0.89208984375,0.3630007803440094
0.2883888781070709,18,,,,,,
0.30091339349746704,19,,,,,,
,99,0.905517578125,0.2946511507034302,9,,,
,99,,,9,0.37419021129608154,,
0.3065231442451477,20,,,,,,
0.2833189368247986,21,,,,,,
,109,0.9013671875,0.29492104053497314,10,,,
,109,,,10,0.3510017991065979,,
0.2979184091091156,22,,,,,,
0.2679964005947113,23,,,,,,
,119,0.91015625,0.28295740485191345,11,,,
,119,,,11,0.3337379992008209,,
0.27369043231010437,24,,,,,,
0.26807835698127747,25,,,,,,
,129,0.912841796875,0.2708843946456909,12,,,
,129,,,12,0.3203979730606079,,
0.2938748598098755,26,,,,,,
0.2654251456260681,27,,,,,,
,139,0.905029296875,0.2796500027179718,13,,,
,139,,,13,0.30777889490127563,,
,149,,,14,,0.9150390625,0.2908967435359955
0.2521934509277344,28,,,,,,
0.26945760846138,29,,,,,,
,149,0.91455078125,0.260825514793396,14,,,
,149,,,14,0.2946370244026184,,
0.2891486585140228,30,,,,,,
