step,val_cross_entropy_step,epoch,val_cross_entropy_epoch,val_acc,cross_entropy_epoch,train_acc,cross_entropy_step
0,3.302687883377075,,,,,,
1,3.2994301319122314,,,,,,
9,,0,3.3010590076446533,0.467041015625,,,
9,,0,,,3.37231183052063,,
2,2.9789350032806396,,,,,,
3,2.9757776260375977,,,,,,
19,,1,2.977356433868408,0.7109375,,,
19,,1,,,3.184077501296997,,
4,2.4019381999969482,,,,,,
5,2.408358573913574,,,,,,
29,,2,2.405148506164551,0.81396484375,,,
29,,2,,,2.7599294185638428,,
6,1.7065536975860596,,,,,,
7,1.7341670989990234,,,,,,
39,,3,1.7203603982925415,0.85546875,,,
39,,3,,,2.1518495082855225,,
49,,4,,,,0.86279296875,1.248064398765564
8,1.1424373388290405,,,,,,
9,1.1179310083389282,,,,,,
49,,4,1.1301841735839844,0.875732421875,,,
49,,4,,,1.5107593536376953,,
10,0.7267084717750549,,,,,,
11,0.7412316799163818,,,,,,
59,,5,0.733970046043396,0.895263671875,,,
59,,5,,,0.9964572787284851,,
12,0.5389578938484192,,,,,,
13,0.5246740579605103,,,,,,
69,,6,0.5318160057067871,0.9033203125,,,
69,,6,,,0.6714307069778442,,
14,0.4282248020172119,,,,,,
15,0.41937705874443054,,,,,,
79,,7,0.4238009452819824,0.9091796875,,,
79,,7,,,0.48337674140930176,,
16,0.3810364603996277,,,,,,
17,0.34970733523368835,,,,,,
89,,8,0.3653718829154968,0.909912109375,,,
89,,8,,,0.3728010654449463,,
99,,9,,,,0.923828125,0.3206539750099182
18,0.33608314394950867,,,,,,
19,0.34443262219429016,,,,,,
99,,9,0.3402578830718994,0.9208984375,,,
99,,9,,,0.31071627140045166,,
20,0.3290442228317261,,,,,,
21,0.3213704824447632,,,,,,
109,,10,0.32520735263824463,0.9169921875,,,
109,,10,,,0.2736087143421173,,
22,0.3464830815792084,,,,,,
23,0.3267163932323456,,,,,,
119,,11,0.336599737405777,0.910888671875,,,
119,,11,,,0.2514016628265381,,
24,0.3032824397087097,,,,,,
25,0.3192039728164673,,,,,,
129,,12,0.3112432062625885,0.916015625,,,
129,,12,,,0.23525433242321014,,
26,0.30936866998672485,,,,,,
27,0.31920862197875977,,,,,,
139,,13,0.3142886459827423,0.912109375,,,
139,,13,,,0.22794286906719208,,
149,,14,,,,0.94140625,0.22373762726783752
28,0.31890952587127686,,,,,,
29,0.31213149428367615,,,,,,
149,,14,0.3155205249786377,0.91357421875,,,
149,,14,,,0.2151554375886917,,
30,0.2882347106933594,,,,,,
31,0.2796269953250885,,,,,,
159,,15,0.28393083810806274,0.918701171875,,,
159,,15,,,0.20618405938148499,,
32,0.31302374601364136,,,,,,
33,0.2854149341583252,,,,,,
169,,16,0.2992193400859833,0.91796875,,,
169,,16,,,0.19219769537448883,,
34,0.29817330837249756,,,,,,
35,0.27915915846824646,,,,,,
179,,17,0.2886662483215332,0.91650390625,,,
179,,17,,,0.18392355740070343,,
36,0.29039597511291504,,,,,,
37,0.2632242441177368,,,,,,
189,,18,0.2768101096153259,0.92138671875,,,
189,,18,,,0.18770858645439148,,
199,,19,,,,0.94775390625,0.19046686589717865
38,0.3056347668170929,,,,,,
39,0.28942301869392395,,,,,,
199,,19,0.2975288927555084,0.91943359375,,,
199,,19,,,0.18503624200820923,,
40,0.29653844237327576,,,,,,
41,0.2905384302139282,,,,,,
209,,20,0.2935384511947632,0.914306640625,,,
209,,20,,,0.17924179136753082,,
42,0.3105500340461731,,,,,,
43,0.29105743765830994,,,,,,
219,,21,0.3008037209510803,0.913330078125,,,
219,,21,,,0.1765347421169281,,
44,0.2931046783924103,,,,,,
45,0.30651676654815674,,,,,,
229,,22,0.2998107075691223,0.915771484375,,,
229,,22,,,0.20358625054359436,,
46,0.3017745018005371,,,,,,
47,0.28659406304359436,,,,,,
239,,23,0.29418426752090454,0.9150390625,,,
239,,23,,,0.1946391761302948,,
249,,24,,,,0.94677734375,0.18814784288406372
48,0.27289754152297974,,,,,,
49,0.2822512090206146,,,,,,
249,,24,0.277574360370636,0.920166015625,,,
249,,24,,,0.17880193889141083,,
50,0.29966217279434204,,,,,,
51,0.29059240221977234,,,,,,
259,,25,0.295127272605896,0.911865234375,,,
259,,25,,,0.16286376118659973,,
52,0.27272161841392517,,,,,,
53,0.28598031401634216,,,,,,
269,,26,0.27935096621513367,0.918701171875,,,
269,,26,,,0.16569097340106964,,
54,0.2847070097923279,,,,,,
55,0.2932989299297333,,,,,,
279,,27,0.2890029549598694,0.917724609375,,,
279,,27,,,0.17277756333351135,,
