step,val_cross_entropy_step,val_cross_entropy_epoch,epoch,val_acc,cross_entropy_epoch,train_acc,cross_entropy_step
0,3.221318006515503,,,,,,
1,3.243319034576416,,,,,,
9,,3.23231840133667,0,0.10009765625,,,
9,,,0,,3.5341389179229736,,
2,2.61134934425354,,,,,,
3,2.6293303966522217,,,,,,
19,,2.620339870452881,1,0.395751953125,,,
19,,,1,,2.991011142730713,,
4,2.0250425338745117,,,,,,
5,2.01072096824646,,,,,,
29,,2.0178818702697754,2,0.596923828125,,,
29,,,2,,2.393641710281372,,
6,1.4601939916610718,,,,,,
7,1.4334075450897217,,,,,,
39,,1.446800708770752,3,0.7275390625,,,
39,,,3,,1.8211324214935303,,
49,,,4,,,0.77001953125,1.158514142036438
8,1.0298014879226685,,,,,,
9,1.0066511631011963,,,,,,
49,,1.0182263851165771,4,0.8037109375,,,
49,,,4,,1.3236604928970337,,
10,0.7365589737892151,,,,,,
11,0.7478148937225342,,,,,,
59,,0.7421869039535522,5,0.84326171875,,,
59,,,5,,0.9639798402786255,,
12,0.608652651309967,,,,,,
13,0.5818413496017456,,,,,,
69,,0.5952470302581787,6,0.86083984375,,,
69,,,6,,0.7382928133010864,,
14,0.5045689344406128,,,,,,
15,0.5182113647460938,,,,,,
79,,0.5113901495933533,7,0.875244140625,,,
79,,,7,,0.6025261878967285,,
16,0.4882345497608185,,,,,,
17,0.4377729296684265,,,,,,
89,,0.4630037546157837,8,0.875244140625,,,
89,,,8,,0.5146838426589966,,
99,,,9,,,0.88623046875,0.44901272654533386
18,0.4086339473724365,,,,,,
19,0.43712809681892395,,,,,,
99,,0.42288100719451904,9,0.888671875,,,
99,,,9,,0.45893731713294983,,
20,0.38136109709739685,,,,,,
21,0.38624870777130127,,,,,,
109,,0.38380491733551025,10,0.901611328125,,,
109,,,10,,0.41845351457595825,,
22,0.3807429373264313,,,,,,
23,0.3599430322647095,,,,,,
119,,0.3703429698944092,11,0.902099609375,,,
119,,,11,,0.3883747458457947,,
24,0.3573053181171417,,,,,,
25,0.36008283495903015,,,,,,
129,,0.35869407653808594,12,0.902587890625,,,
129,,,12,,0.3653566837310791,,
26,0.33732303977012634,,,,,,
27,0.3620746433734894,,,,,,
139,,0.34969884157180786,13,0.90673828125,,,
139,,,13,,0.34625163674354553,,
149,,,14,,,0.91455078125,0.3340732455253601
28,0.3463186025619507,,,,,,
29,0.3259599208831787,,,,,,
149,,0.3361392617225647,14,0.906005859375,,,
149,,,14,,0.32867544889450073,,
30,0.34522393345832825,,,,,,
31,0.3139760196208954,,,,,,
159,,0.3295999765396118,15,0.90625,,,
159,,,15,,0.31347665190696716,,
32,0.3187648057937622,,,,,,
33,0.3200673758983612,,,,,,
169,,0.3194161057472229,16,0.910400390625,,,
169,,,16,,0.30030375719070435,,
34,0.3139534890651703,,,,,,
35,0.27826395630836487,,,,,,
179,,0.2961087226867676,17,0.91455078125,,,
179,,,17,,0.28883951902389526,,
36,0.303341269493103,,,,,,
37,0.29773151874542236,,,,,,
189,,0.3005363941192627,18,0.914794921875,,,
189,,,18,,0.27860233187675476,,
199,,,19,,,0.935546875,0.26852086186408997
38,0.2806394696235657,,,,,,
39,0.2848816514015198,,,,,,
199,,0.2827605605125427,19,0.917724609375,,,
199,,,19,,0.27120739221572876,,
40,0.2922154664993286,,,,,,
41,0.2873338758945465,,,,,,
209,,0.28977465629577637,20,0.91650390625,,,
209,,,20,,0.259645015001297,,
42,0.29006174206733704,,,,,,
43,0.2798888087272644,,,,,,
219,,0.2849752902984619,21,0.91259765625,,,
219,,,21,,0.2535420060157776,,
44,0.2668333053588867,,,,,,
45,0.3009205758571625,,,,,,
229,,0.2838769555091858,22,0.91650390625,,,
229,,,22,,0.2443595826625824,,
46,0.27449366450309753,,,,,,
47,0.2711017429828644,,,,,,
239,,0.27279770374298096,23,0.91455078125,,,
239,,,23,,0.23829881846904755,,
249,,,24,,,0.93359375,0.24322901666164398
48,0.2648003101348877,,,,,,
49,0.27778175473213196,,,,,,
249,,0.27129101753234863,24,0.915771484375,,,
249,,,24,,0.2331846058368683,,
50,0.2594521939754486,,,,,,
51,0.27612629532814026,,,,,,
259,,0.26778924465179443,25,0.915771484375,,,
259,,,25,,0.226467102766037,,
52,0.2851404547691345,,,,,,
53,0.2617033123970032,,,,,,
269,,0.27342188358306885,26,0.9130859375,,,
269,,,26,,0.2198931723833084,,
54,0.2765582203865051,,,,,,
55,0.2595008313655853,,,,,,
279,,0.26802951097488403,27,0.91455078125,,,
279,,,27,,0.2156880795955658,,
56,0.2642919421195984,,,,,,
57,0.2652219235897064,,,,,,
289,,0.2647569179534912,28,0.916748046875,,,
289,,,28,,0.2103726863861084,,
299,,,29,,,0.9404296875,0.21053190529346466
58,0.28525257110595703,,,,,,
59,0.25109153985977173,,,,,,
299,,0.2681720554828644,29,0.916748046875,,,
299,,,29,,0.20828363299369812,,
60,0.2383429855108261,,,,,,
61,0.28195416927337646,,,,,,
309,,0.2601485848426819,30,0.921630859375,,,
309,,,30,,0.20265118777751923,,
62,0.2739867568016052,,,,,,
63,0.2600770592689514,,,,,,
319,,0.2670319080352783,31,0.913330078125,,,
319,,,31,,0.19949495792388916,,
64,0.24518458545207977,,,,,,
65,0.27292147278785706,,,,,,
329,,0.2590530216693878,32,0.92041015625,,,
329,,,32,,0.19732612371444702,,
66,0.26625123620033264,,,,,,
67,0.25178998708724976,,,,,,
339,,0.2590206265449524,33,0.92041015625,,,
339,,,33,,0.1918199211359024,,
