step,val_cross_entropy_step,epoch,val_cross_entropy_epoch,val_acc,cross_entropy_epoch,cross_entropy_step,train_acc
0,1.2620217903448827,,,,,,
1,1.27363370578033,,,,,,
2,1.2724810264780266,,,,,,
3,1.2760569457938953,,,,,,
4,1.3914569107089227,,,,,,
5,1.3195489605323,,,,,,
6,1.2140677875323094,,,,,,
7,1.2903836885998348,,,,,,
8,1.2617836069681234,,,,,,
9,1.353509889789792,,,,,,
10,1.2882516767036176,,,,,,
40,,0,1.2911996353847304,0.7180397727272727,,,
40,,0,,,2.794643839997079,,
49,,1,,,,0.8671831410726157,0.80078125
11,0.47954646872133383,,,,,,
12,0.3924303595060545,,,,,,
13,0.4016126203925672,,,,,,
14,0.47742732873344496,,,,,,
15,0.4112483955080796,,,,,,
16,0.4203928655650343,,,,,,
17,0.3849661334961538,,,,,,
18,0.44939636337685723,,,,,,
19,0.395587060650293,,,,,,
20,0.4749063783284389,,,,,,
21,0.4297079635671353,,,,,,
81,,1,0.4288383579859447,0.8755326704545454,,,
81,,1,,,0.7979665690298627,,
99,,2,,,,0.5060877217325802,0.849609375
22,0.3099170856601247,,,,,,
23,0.3459810895779565,,,,,,
24,0.358889657607534,,,,,,
25,0.4310370207767755,,,,,,
26,0.33378323072627236,,,,,,
27,0.39062742608195716,,,,,,
28,0.37591982729420226,,,,,,
29,0.3376973575005185,,,,,,
30,0.32536197155401697,,,,,,
31,0.3999079520492283,,,,,,
32,0.35316055061645074,,,,,,
122,,2,0.3602075608586397,0.8961292613636364,,,
122,,2,,,0.49760332444351074,,
