step,val_cross_entropy_step,val_cross_entropy_epoch,epoch,val_acc,cross_entropy_epoch,cross_entropy_step,train_acc
0,3.3496248722076416,,,,,,
1,3.3567090034484863,,,,,,
9,,3.3531670570373535,0,0.088134765625,,,
9,,,0,,3.4185073375701904,,
2,3.0875730514526367,,,,,,
3,3.085871458053589,,,,,,
19,,3.0867223739624023,1,0.241455078125,,,
19,,,1,,3.254448413848877,,
4,2.6004154682159424,,,,,,
5,2.5696661472320557,,,,,,
29,,2.585040807723999,2,0.2744140625,,,
29,,,2,,2.8926243782043457,,
6,2.089573621749878,,,,,,
7,2.115224838256836,,,,,,
39,,2.1023993492126465,3,0.35595703125,,,
39,,,3,,2.4192607402801514,,
49,,,4,,,1.748858094215393,0.5546875
8,1.5802024602890015,,,,,,
9,1.5955229997634888,,,,,,
49,,1.5878627300262451,4,0.600830078125,,,
49,,,4,,1.9483648538589478,,
