step,val_cross_entropy_step,epoch,val_acc,val_cross_entropy_epoch,cross_entropy_epoch,train_acc,cross_entropy_step
0,3.260481357574463,,,,,,
1,3.260981559753418,,,,,,
9,,0,0.56494140625,3.2607314586639404,,,
9,,0,,,3.3514602184295654,,
2,2.9940385818481445,,,,,,
3,2.985300064086914,,,,,,
19,,1,0.759033203125,2.9896693229675293,,,
19,,1,,,3.167487144470215,,
4,2.549058675765991,,,,,,
5,2.5473833084106445,,,,,,
29,,2,0.823486328125,2.5482211112976074,,,
29,,2,,,2.8319506645202637,,
6,2.0032448768615723,,,,,,
7,2.012312173843384,,,,,,
39,,3,0.862060546875,2.0077786445617676,,,
39,,3,,,2.3468921184539795,,
49,,4,,,,0.88427734375,1.555877923965454
8,1.4582946300506592,,,,,,
9,1.469935417175293,,,,,,
49,,4,0.894775390625,1.464115023612976,,,
49,,4,,,1.797040581703186,,
