model_name,n_units_l1,n_units_l2,trainable_params,time_to_train,val_loss
mlp,64,10,66728,39.92730402946472,tensor 0.350
mlp,64,16,67310,39.1397430896759,tensor 0.266
mlp,64,32,68862,38.2876501083374,tensor 0.238
mlp,128,10,133096,38.75859093666077,tensor 0.356
mlp,128,16,134062,38.08072805404663,tensor 0.289
mlp,128,32,136638,38.01516604423523,tensor 0.251
mlp,192,10,199464,37.77173399925232,tensor 0.368
mlp,192,16,200814,38.2396240234375,tensor 0.275
mlp,192,32,204414,37.93077230453491,tensor 0.241
efficient-kan,64,10,75000,44.893863916397095,tensor 0.201
efficient-kan,64,16,80640,43.972492933273315,tensor 0.185
efficient-kan,64,32,95680,45.29961180686951,tensor 0.185
efficient-kan,128,10,147000,45.90921497344971,tensor 0.193
efficient-kan,128,16,156480,46.245124101638794,tensor 0.249
efficient-kan,128,32,181760,46.113412857055664,tensor 0.246
efficient-kan,192,10,219000,47.58376121520996,tensor 0.199
efficient-kan,192,16,232320,48.33308386802673,tensor 0.197
efficient-kan,192,32,267840,48.324787855148315,tensor 0.192
FastKAN,64,10,74248,42.164233922958374,tensor 0.207
FastKAN,64,16,79342,41.47133016586304,tensor 0.205
FastKAN,64,32,92926,40.883484840393066,tensor 0.193
FastKAN,128,10,145736,42.32974600791931,tensor 0.189
FastKAN,128,16,154286,42.41452121734619,tensor 0.186
FastKAN,128,32,177086,42.34264397621155,tensor 0.200
FastKAN,192,10,217224,43.0531952381134,tensor 0.207
FastKAN,192,16,229230,42.49060297012329,tensor 0.189
FastKAN,192,32,261246,43.44274282455444,tensor 0.220
ChebyKAN,64,10,70448,45.72411489486694,tensor 0.307
ChebyKAN,64,16,73280,45.3937783241272,tensor 0.250
ChebyKAN,64,32,80832,45.04781413078308,tensor 0.243
ChebyKAN,128,10,139376,47.809818267822266,tensor 0.332
ChebyKAN,128,16,144128,47.86027812957764,tensor 0.357
ChebyKAN,128,32,156800,48.622857093811035,tensor 0.246
ChebyKAN,192,10,208304,51.78540515899658,tensor 0.303
ChebyKAN,192,16,214976,50.27117300033569,tensor 0.265
ChebyKAN,192,32,232768,51.52256798744202,tensor 0.231
JacobiKAN,64,10,70448,45.61732506752014,tensor 0.217
JacobiKAN,64,16,73280,46.18869137763977,tensor 0.251
JacobiKAN,64,32,80832,46.94997596740723,tensor 0.184
JacobiKAN,128,10,139376,48.16195106506348,tensor 0.262
JacobiKAN,128,16,144128,48.570006132125854,tensor 0.215
JacobiKAN,128,32,156800,48.95645999908447,tensor 0.186
JacobiKAN,192,10,208304,52.24928116798401,tensor 0.240
JacobiKAN,192,16,214976,51.75580072402954,tensor 0.230
JacobiKAN,192,32,232768,52.369601011276245,tensor 0.192
RBFKAN,64,10,74100,39.65651988983154,tensor 0.205
RBFKAN,64,16,79182,39.45683288574219,tensor 0.175
RBFKAN,64,32,92734,40.361974000930786,tensor 0.203
RBFKAN,128,10,145460,41.631765365600586,tensor 0.195
RBFKAN,128,16,153998,40.46950602531433,tensor 0.203
RBFKAN,128,32,176766,40.80157804489136,tensor 0.183
RBFKAN,192,10,216820,42.9387903213501,tensor 0.194
RBFKAN,192,16,228814,41.60711598396301,tensor 0.192
RBFKAN,192,32,260798,41.57059979438782,tensor 0.182
mlp,24,6,25020,39.511558055877686,tensor 0.732
mlp,24,10,25248,39.80578088760376,tensor 0.384
mlp,24,16,25590,42.34506702423096,tensor 0.272
mlp,24,24,26046,38.133877992630005,tensor 0.254
mlp,32,6,33284,39.718266248703,tensor 0.751
mlp,32,10,33544,42.356720209121704,tensor 0.342
mlp,32,16,33934,38.01603102684021,tensor 0.270
mlp,32,24,34454,37.54649019241333,tensor 0.237
mlp,48,6,49812,38.51492500305176,tensor 0.707
mlp,48,10,50136,47.2801148891449,tensor 0.358
mlp,48,16,50622,43.65675401687622,tensor 0.275
